days,t/hr
0.108611,20.3752
2.22653,21.3456
2.3623,22.5593
2.98681,22.5593
3.14973,36.9596
3.8557,37.2036
4.07292,53.5565
4.94182,54.7768
5.05043,37.9358
5.81071,38.1799
5.97362,54.0446
8.1187,55.265
9.96509,56.4854
10.3181,69.1771
10.8068,69.1771
10.9154,79.1841
11.2413,76.2552
12.7618,85.2859
13.8479,88.7029
14.0109,103.835
14.4996,101.151
15.8029,107.497
17.1334,113.598
18.301,120.432
19.0884,122.873
19.1699,130.195
20.5004,131.66
20.8534,129.707
20.9891,0
25.9038,0
26.0396,150.941
27.723,143.131
31.0357,136.785
31.1171,168.271
31.796,162.169
32.0132,173.64
32.5291,169.247
34.104,172.176
34.1854,173.62
34.8099,175.34
